segment_id,date,weekday,day_type,period,time_slot,LOS,n,s_node_id,e_node_id,length,street_id,max_velocity,street_level,street_name,street_type,long_snode,lat_snode,long_enode,lat_enode,hour,minute,year_month,is_holiday
2081,2020-08-03,0,weekday,period_0_00,0,C,8,366474075,366413450,14,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.653626,10.7645678,106.6536879,10.7646854,0,0,2020-08,False
2082,2020-08-02,6,weekend,period_23_30,47,F,2,366474075,4932516665,11,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.653626,10.7645678,106.6535649,10.7644853,23,30,2020-08,False
2082,2020-08-03,0,weekday,period_0_00,0,D,8,366474075,4932516665,11,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.653626,10.7645678,106.6535649,10.7644853,0,0,2020-08,False
2083,2020-08-02,6,weekend,period_23_30,47,D,2,4932516665,366474075,11,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6535649,10.7644853,106.653626,10.7645678,23,30,2020-08,False
2083,2020-08-03,0,weekday,period_0_00,0,F,8,4932516665,366474075,11,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6535649,10.7644853,106.653626,10.7645678,0,0,2020-08,False
2084,2020-08-02,6,weekend,period_23_30,47,F,2,4932516665,366448103,2,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6535649,10.7644853,106.6535497,10.7644648,23,30,2020-08,False
2084,2020-08-03,0,weekday,period_0_00,0,F,8,4932516665,366448103,2,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6535649,10.7644853,106.6535497,10.7644648,0,0,2020-08,False
2085,2020-08-02,6,weekend,period_23_30,47,F,2,366448103,4932516665,2,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6535497,10.7644648,106.6535649,10.7644853,23,30,2020-08,False
2085,2020-08-03,0,weekday,period_0_00,0,C,8,366448103,4932516665,2,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6535497,10.7644648,106.6535649,10.7644853,0,0,2020-08,False
2086,2020-08-02,6,weekend,period_23_30,47,B,2,366448103,366429352,23,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6535497,10.7644648,106.6533662,10.7643527,23,30,2020-08,False
2086,2020-08-03,0,weekday,period_0_00,0,E,8,366448103,366429352,23,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6535497,10.7644648,106.6533662,10.7643527,0,0,2020-08,False
2087,2020-08-02,6,weekend,period_23_30,47,B,2,366429352,366448103,23,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6533662,10.7643527,106.6535497,10.7644648,23,30,2020-08,False
2087,2020-08-03,0,weekday,period_0_00,0,F,8,366429352,366448103,23,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6533662,10.7643527,106.6535497,10.7644648,0,0,2020-08,False
2088,2020-08-02,6,weekend,period_23_30,47,F,2,366429352,4924631882,25,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6533662,10.7643527,106.6531594,10.7642379,23,30,2020-08,False
2088,2020-08-03,0,weekday,period_0_00,0,F,8,366429352,4924631882,25,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6533662,10.7643527,106.6531594,10.7642379,0,0,2020-08,False
2089,2020-08-02,6,weekend,period_23_30,47,F,2,4924631882,366429352,25,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6531594,10.7642379,106.6533662,10.7643527,23,30,2020-08,False
2089,2020-08-03,0,weekday,period_0_00,0,F,8,4924631882,366429352,25,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6531594,10.7642379,106.6533662,10.7643527,0,0,2020-08,False
